timestamp,air-temperature,atmospheric-pressure,gust-windspeed,precipitation,relative-humidity,wind-direction,windspeed
2022-11-26 17:00:00+00:00,,96.35,,,,,
2022-11-26 18:00:00+00:00,,96.37,,,,,
2022-11-26 19:00:00+00:00,,96.3725,,,,,
2022-11-26 20:00:00+00:00,,96.4075,,,,,
2022-11-26 21:00:00+00:00,,96.42,,,,,
2022-12-03 08:00:00+00:00,,,6.1,35.054,,,
2022-12-14 08:00:00+00:00,,,0.38,,,,0.33
2022-12-21 07:00:00+00:00,0.7,96.52,,,92.9,,
2022-12-21 08:00:00+00:00,0.9,,,,92.2,,
2023-02-01 07:00:00+00:00,,,,,,334.5,
