timestamp,Air temperature,Leaf Wetness,Precipitation,Soil moisture_25cm,Soil temperature_15cm,Soil temperature_25cm,Soil temperature_5cm,Wind speed 100 Hz
2023-02-03 22:00:00+00:00,-1.4493522666666667,,,20.296218333333332,,6.101510333333334,1.9560026666666666,
2023-02-03 23:00:00+00:00,-0.6037488999999999,,,20.295536666666667,5.740889666666667,6.0333105,1.8685146666666668,
2023-02-04 00:00:00+00:00,0.211336785,,,20.299626666666665,5.4881614999999995,5.914721833333334,1.8645783333333332,
2023-02-04 01:00:00+00:00,0.8439509333333333,,,20.290766666666666,5.3105225,5.870746333333333,2.1437005,
2023-02-04 02:00:00+00:00,,,,20.304393333333334,5.091116666666667,5.680710166666667,,
2023-02-04 03:00:00+00:00,,,,20.2969,5.0067303333333335,5.642499999999999,,1.1437938333333333
2023-02-04 04:00:00+00:00,,,,20.298263333333335,4.8632715,5.5317834999999995,,1.9058413333333333
2023-02-04 05:00:00+00:00,,,,20.29213,4.842171,5.486362,,
2023-02-04 06:00:00+00:00,,,,20.30712,,5.336175666666667,,
2023-02-04 07:00:00+00:00,,,,20.290768333333332,,5.292622166666667,,
2023-02-04 08:00:00+00:00,,,,20.279871666666665,4.8797405,5.3121928333333335,,1.4149293333333333
2023-02-04 09:00:00+00:00,,,,20.275106666666666,5.0911151666666665,5.3035675,,
2023-02-04 10:00:00+00:00,,,,20.274426666666667,5.412210333333333,5.285901833333333,,
2023-02-04 11:00:00+00:00,,,,20.251974999999998,5.664943333333333,5.326631,,
2023-02-04 12:00:00+00:00,,,,20.266945,5.904260833333333,5.3004505,,1.26063
2023-02-04 13:00:00+00:00,,,,20.262858333333334,,5.300457166666667,,1.4337165
2023-02-04 14:00:00+00:00,,8.0,1.0,20.259463333333333,,5.453327000000001,,1.5428821666666668
2023-02-04 15:00:00+00:00,,5.666666666666667,,20.249255,,5.504027499999999,,
2023-02-04 16:00:00+00:00,,5.5,,20.237695,,5.692392833333333,,
2023-02-04 17:00:00+00:00,,,,20.237016666666666,,5.747046666666667,,
2023-02-04 18:00:00+00:00,,6.5,,20.213905,,5.8949675,,1.8097933333333334
2023-02-04 19:00:00+00:00,1.0048065333333334,,,20.22341833333333,,5.8982935,,
2023-02-04 20:00:00+00:00,1.1472237833333334,,,20.22342,,5.924174666666667,,
2023-02-04 21:00:00+00:00,,,,20.206775,,5.96961925,,1.949641
